sequence,sample,x,y,z,time_s
62908,1,1933,-10682,463,0.000000000
62908,2,189,-12360,4346,0.001187424
62908,3,-336,-11224,4941,0.002374848
62908,4,-1456,-10072,5003,0.003562272
62908,5,-1603,-10755,7157,0.004749696
62908,6,-85,-10783,6397,0.005937120
62908,7,79,-7703,3100,0.007124544
62908,8,225,-7307,2590,0.008311968
62908,9,320,-8206,1563,0.009499392
62908,10,660,-9356,-3131,0.010686816
62908,11,571,-9208,-1496,0.011874240
62908,12,1006,-9282,-2247,0.013061664
62908,13,1098,-9840,-3610,0.014249088
62908,14,1316,-9169,-3556,0.015436512
62908,15,538,-9100,-337,0.016623936
62908,16,152,-8984,-2293,0.017811360
62908,17,38,-8819,-1957,0.018998784
62908,18,1086,-6658,-997,0.020186208
62908,19,1244,-4744,-391,0.021373632
62908,20,1088,-4382,-2038,0.022561056
62908,21,338,-4384,-742,0.023748480
62908,22,769,-2673,-906,0.024935904
62908,23,1709,-2110,-596,0.026123328
62908,24,1941,-2793,-68,0.027310752
62908,25,1658,-3133,478,0.028498176
62908,26,258,-3096,1023,0.029685600
62908,27,-1456,-3997,1889,0.030873024
62908,28,-788,-2620,3415,0.032060448
62908,29,-1098,-406,950,0.033247872
62908,30,-871,-314,-116,0.034435296
62908,31,-535,-1230,-159,0.035622720
62908,32,-107,-156,-1025,0.036810144
62908,33,-257,452,-2083,0.037997568
62908,34,-1185,-88,368,0.039184992
62908,35,-1360,236,26,0.040372416
62908,36,-1108,846,1099,0.041559840
62908,37,-328,645,449,0.042747264
62908,38,-1085,700,1211,0.043934688
62908,39,-993,1359,833,0.045122112
62908,40,-1218,3744,1263,0.046309536
62908,41,-2487,4799,557,0.047496960
62908,42,-1869,4258,-428,0.048684384
62908,43,-27,1897,-896,0.049871808
62908,44,-752,-562,-1993,0.051059232
62908,45,-1700,-959,-404,0.052246656
62908,46,-1302,-362,1750,0.053434080
62908,47,-1375,-277,2206,0.054621504
62908,48,-2083,-4455,3405,0.055808928
62908,49,618,-15949,805,0.056996352
62908,50,1283,-19811,4292,0.058183776
62908,51,1080,-15116,-242,0.059371200
62908,52,79,-7311,10134,0.060558624
62908,53,465,-6382,3670,0.061746048
62908,54,523,-6068,4044,0.062933472
62908,55,5127,-9318,-820,0.064120896
62908,56,3188,-8493,5105,0.065308320
62908,57,302,-6403,743,0.066495744
62908,58,-972,-4429,7411,0.067683168
62908,59,-1548,-4413,5433,0.068870592
