,feature,F_score
1,y__ar_coefficient__coeff_8__k_10,3595.6171306346473
2,"z__fft_aggregated__aggtype_""skew""",3576.9635406832836
3,z__ar_coefficient__coeff_1__k_10,3176.514259275908
4,y__ar_coefficient__coeff_7__k_10,3139.3973057590724
5,"z__fft_aggregated__aggtype_""centroid""",2775.4221527947007
6,y__ar_coefficient__coeff_1__k_10,2686.0637807078456
7,x__partial_autocorrelation__lag_7,2466.7313842676817
8,"y__fft_aggregated__aggtype_""centroid""",2330.371827243152
9,x__autocorrelation__lag_8,2135.136158539581
10,"x__fft_coefficient__attr_""abs""__coeff_23",2133.9081205845073
11,"y__fft_aggregated__aggtype_""variance""",2111.8770387854443
12,"x__fft_coefficient__attr_""abs""__coeff_24",2063.688518695958
13,"y__fft_aggregated__aggtype_""skew""",2050.462631424478
14,"x__fft_aggregated__aggtype_""skew""",1893.4691518146026
15,"x__fft_aggregated__aggtype_""kurtosis""",1861.070205543057
16,z__partial_autocorrelation__lag_4,1725.023380518475
17,y__ar_coefficient__coeff_9__k_10,1601.8744664642904
18,y__partial_autocorrelation__lag_9,1598.5683942454173
19,"x__fft_coefficient__attr_""abs""__coeff_22",1579.0908321284564
20,x__partial_autocorrelation__lag_1,1578.0756646511938
21,x__autocorrelation__lag_1,1578.0756646510802
22,x__number_crossing_m__m_1,1576.9913359145373
23,x__number_crossing_m__m_-1,1575.594193782163
24,x__number_crossing_m__m_0,1575.0643970982828
25,"z__fft_aggregated__aggtype_""kurtosis""",1561.207940465274
26,x__cid_ce__normalize_True,1560.1530838112387
27,"x__fft_aggregated__aggtype_""centroid""",1531.2435577619694
28,"x__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",1504.090733131853
29,z__ar_coefficient__coeff_8__k_10,1433.8865383612376
30,"z__fft_coefficient__attr_""abs""__coeff_24",1380.4386134520948
31,"x__fft_coefficient__attr_""abs""__coeff_25",1331.6920107970532
32,x__friedrich_coefficients__coeff_2__m_3__r_30,1269.499446210842
33,x__autocorrelation__lag_2,1268.7013007958615
34,z__cid_ce__normalize_True,1206.1139381114704
35,z__autocorrelation__lag_1,1205.5263968389036
36,z__partial_autocorrelation__lag_1,1205.5263968385266
37,x__autocorrelation__lag_7,1198.5149783125369
38,"x__fft_coefficient__attr_""abs""__coeff_21",1193.057811776543
39,z__ar_coefficient__coeff_3__k_10,1168.0926054119548
40,y__partial_autocorrelation__lag_8,1156.2839496329489
41,"z__fft_coefficient__attr_""abs""__coeff_25",1141.1230748179346
42,x__permutation_entropy__dimension_7__tau_1,1135.6697043722768
43,x__absolute_sum_of_changes,1128.4256094187044
44,x__mean_abs_change,1128.4256094186378
45,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",1128.4256094186378
46,"z__fft_coefficient__attr_""abs""__coeff_23",1102.2626142921317
47,z__partial_autocorrelation__lag_8,1023.1112748195212
48,x__cid_ce__normalize_False,1019.0507232440158
49,"x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",973.5036628357294
50,y__permutation_entropy__dimension_7__tau_1,959.4397060876123
51,x__ar_coefficient__coeff_7__k_10,945.2649067568591
52,y__permutation_entropy__dimension_3__tau_1,934.5950259358813
53,x__permutation_entropy__dimension_6__tau_1,928.4790495896091
54,y__number_peaks__n_1,928.4591695823859
55,y__permutation_entropy__dimension_4__tau_1,926.8820995475552
56,y__permutation_entropy__dimension_6__tau_1,918.6089419583204
57,y__permutation_entropy__dimension_5__tau_1,916.4008896612276
58,x__spkt_welch_density__coeff_2,898.3129196799449
59,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",878.7473316071711
60,z__absolute_sum_of_changes,878.3863185099468
61,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",878.3863185062447
62,z__mean_abs_change,878.3863185062447
63,z__cid_ce__normalize_False,877.3943649099328
64,z__number_peaks__n_1,870.0022050498434
65,z__partial_autocorrelation__lag_5,865.170045481055
66,y__partial_autocorrelation__lag_2,855.7693348336613
67,"z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",843.0314832480217
68,x__partial_autocorrelation__lag_4,837.760571259309
69,x__permutation_entropy__dimension_5__tau_1,799.976217852109
70,"x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",789.5510153976016
71,z__partial_autocorrelation__lag_7,776.1612709655294
72,z__permutation_entropy__dimension_7__tau_1,771.7254154139512
73,"z__fft_coefficient__attr_""abs""__coeff_26",763.3661253692876
74,z__ar_coefficient__coeff_5__k_10,760.5368899426744
75,"z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",756.9378523243442
76,z__permutation_entropy__dimension_4__tau_1,754.3481247630589
77,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",754.1942874298504
78,y__cid_ce__normalize_True,748.8648247525632
79,y__autocorrelation__lag_1,743.029974859418
80,y__partial_autocorrelation__lag_1,743.0299748461468
