,feature,F_score
1,"z__fft_aggregated__aggtype_""skew""",3333.7823280855446
2,y__ar_coefficient__coeff_8__k_10,3139.0634235124326
3,z__ar_coefficient__coeff_1__k_10,2966.288107937189
4,y__ar_coefficient__coeff_7__k_10,2734.843225353002
5,"z__fft_aggregated__aggtype_""centroid""",2548.256227107911
6,y__ar_coefficient__coeff_1__k_10,2482.3103194191217
7,x__partial_autocorrelation__lag_7,2060.995574860867
8,"x__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",2048.1527338088085
9,"y__fft_aggregated__aggtype_""centroid""",2015.0280343426502
10,"y__fft_aggregated__aggtype_""variance""",1874.4308962506166
11,"x__fft_aggregated__aggtype_""skew""",1816.3223818190588
12,x__autocorrelation__lag_8,1784.020571496358
13,"x__fft_aggregated__aggtype_""kurtosis""",1764.6997753076735
14,x__number_crossing_m__m_1,1620.8702705398937
15,x__number_crossing_m__m_0,1618.8986654737173
16,x__number_crossing_m__m_-1,1618.3231717089666
17,"y__fft_aggregated__aggtype_""skew""",1587.2526510371622
18,x__partial_autocorrelation__lag_1,1583.9471405725926
19,x__autocorrelation__lag_1,1583.947140572263
20,x__cid_ce__normalize_True,1581.0744271856709
21,"x__fft_coefficient__attr_""abs""__coeff_35",1546.1189321549696
22,z__partial_autocorrelation__lag_4,1516.936531474253
23,"x__fft_coefficient__attr_""abs""__coeff_36",1504.508249227216
24,"x__fft_aggregated__aggtype_""centroid""",1495.1318145550815
25,"z__fft_aggregated__aggtype_""kurtosis""",1476.8318767296264
26,y__ar_coefficient__coeff_9__k_10,1457.1597124815273
27,"x__fft_coefficient__attr_""abs""__coeff_34",1413.844767012906
28,z__ar_coefficient__coeff_8__k_10,1362.4099461879912
29,y__partial_autocorrelation__lag_9,1345.2457881993216
30,x__friedrich_coefficients__coeff_2__m_3__r_30,1273.5789557333433
31,x__autocorrelation__lag_7,1231.3004362750453
32,x__autocorrelation__lag_2,1223.6808934962073
33,"x__fft_coefficient__attr_""abs""__coeff_37",1184.235706698169
34,z__cid_ce__normalize_True,1154.588863225849
35,"x__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",1147.3948127196752
36,z__partial_autocorrelation__lag_1,1146.1586216735718
37,z__autocorrelation__lag_1,1146.1586216734959
38,"x__fft_coefficient__attr_""abs""__coeff_33",1080.9024037923177
39,x__permutation_entropy__dimension_7__tau_1,1053.9400525468084
40,"z__fft_coefficient__attr_""abs""__coeff_36",1047.3603257796494
41,"z__fft_coefficient__attr_""abs""__coeff_37",1027.349747587415
42,x__mean_abs_change,956.0662094902191
43,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",956.0662094902191
44,x__absolute_sum_of_changes,956.066209489946
45,y__partial_autocorrelation__lag_8,950.7420978536898
46,x__partial_autocorrelation__lag_4,908.0332338531556
47,z__ar_coefficient__coeff_3__k_10,895.7597322641204
48,x__cid_ce__normalize_False,887.4618025318919
49,"z__fft_coefficient__attr_""abs""__coeff_35",875.1302667522242
50,z__partial_autocorrelation__lag_8,872.2336133105016
51,x__ar_coefficient__coeff_7__k_10,863.9088742556258
52,x__permutation_entropy__dimension_6__tau_1,858.1052547042477
53,"x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",850.3121069027753
54,"x__fft_coefficient__attr_""abs""__coeff_32",824.6453790025103
55,x__spkt_welch_density__coeff_2,818.5398193611142
56,y__permutation_entropy__dimension_7__tau_1,788.8199083410162
57,y__permutation_entropy__dimension_3__tau_1,783.5094892918308
58,"z__fft_coefficient__attr_""abs""__coeff_38",780.4515196593949
59,y__number_peaks__n_1,780.2605229601186
60,y__permutation_entropy__dimension_6__tau_1,776.6130179531942
61,"x__fft_coefficient__attr_""abs""__coeff_31",765.2902103962596
62,y__permutation_entropy__dimension_4__tau_1,764.5407081964718
63,x__permutation_entropy__dimension_5__tau_1,759.6799912930544
64,y__permutation_entropy__dimension_5__tau_1,758.1336513375164
65,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",755.5235865153732
66,z__cid_ce__normalize_False,728.7257116769885
67,z__number_peaks__n_1,728.3050885311918
68,"x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",710.5065756245954
69,z__partial_autocorrelation__lag_7,707.3062250110972
70,z__ar_coefficient__coeff_5__k_10,704.6291040549035
71,"z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",699.4549682811717
72,z__absolute_sum_of_changes,698.1711953139506
73,z__mean_abs_change,698.1711953116513
74,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",698.1711953116513
75,"z__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",695.7173920563374
