,feature,F_score
1,"z__fft_aggregated__aggtype_""skew""",3159.0751127735416
2,z__ar_coefficient__coeff_1__k_10,2766.967457965586
3,y__ar_coefficient__coeff_8__k_10,2727.5589643966678
4,"z__fft_aggregated__aggtype_""centroid""",2395.201471090921
5,y__ar_coefficient__coeff_7__k_10,2364.6063531557897
6,y__ar_coefficient__coeff_1__k_10,2251.920537886611
7,x__partial_autocorrelation__lag_7,1750.4330152193838
8,"y__fft_aggregated__aggtype_""centroid""",1735.3273344801576
9,"x__fft_aggregated__aggtype_""kurtosis""",1726.1648036776019
10,"x__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",1643.6467272726472
11,"y__fft_aggregated__aggtype_""variance""",1639.3261671948408
12,"x__fft_aggregated__aggtype_""skew""",1601.4131224832372
13,x__number_crossing_m__m_1,1520.3277132622884
14,x__number_crossing_m__m_0,1519.9615124731781
15,x__number_crossing_m__m_-1,1519.614392619572
16,"z__fft_aggregated__aggtype_""kurtosis""",1505.6797454125228
17,x__autocorrelation__lag_1,1489.6914528242264
18,x__partial_autocorrelation__lag_1,1489.6914528239772
19,x__cid_ce__normalize_True,1485.4483657734868
20,x__autocorrelation__lag_8,1448.7601848970255
21,z__partial_autocorrelation__lag_4,1399.120230527522
22,"x__fft_aggregated__aggtype_""centroid""",1398.036061189099
23,y__ar_coefficient__coeff_9__k_10,1332.1363762589515
24,z__ar_coefficient__coeff_8__k_10,1260.2159156065609
25,"y__fft_aggregated__aggtype_""skew""",1255.1256501835762
26,x__friedrich_coefficients__coeff_2__m_3__r_30,1212.514446453918
27,"x__fft_coefficient__attr_""abs""__coeff_47",1204.9674858569945
28,x__autocorrelation__lag_2,1187.3703098027677
29,"x__fft_coefficient__attr_""abs""__coeff_46",1134.8728362281433
30,z__cid_ce__normalize_True,1131.8163135376074
31,z__autocorrelation__lag_1,1126.1555430705055
32,z__partial_autocorrelation__lag_1,1126.1555430700353
33,y__partial_autocorrelation__lag_9,1120.5532623484603
34,"x__fft_coefficient__attr_""abs""__coeff_48",1091.0797643050767
35,"x__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",1022.0526105947285
36,x__autocorrelation__lag_7,998.955005747521
37,"x__fft_coefficient__attr_""abs""__coeff_49",998.8508526102925
38,x__permutation_entropy__dimension_7__tau_1,968.7073948930235
39,"x__fft_coefficient__attr_""abs""__coeff_45",917.2039826416027
40,x__mean_abs_change,823.5611071543738
41,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",823.5611071543738
42,x__absolute_sum_of_changes,823.5611071543193
43,"z__fft_coefficient__attr_""abs""__coeff_48",812.5374360662988
44,x__permutation_entropy__dimension_6__tau_1,797.109142223207
45,x__ar_coefficient__coeff_7__k_10,789.3698512236822
46,x__cid_ce__normalize_False,778.9560479303644
47,y__partial_autocorrelation__lag_8,778.0356301724062
48,z__partial_autocorrelation__lag_8,767.029005363977
49,"x__fft_coefficient__attr_""abs""__coeff_44",761.5763449002083
50,"z__fft_coefficient__attr_""abs""__coeff_47",760.0874918235234
51,x__spkt_welch_density__coeff_2,758.9364187240459
52,x__partial_autocorrelation__lag_4,754.4132601584841
53,"z__fft_coefficient__attr_""abs""__coeff_49",752.8431908185628
54,"x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",747.1520409289046
55,x__permutation_entropy__dimension_5__tau_1,716.7790171020002
56,z__ar_coefficient__coeff_3__k_10,712.8020506743593
57,"x__fft_coefficient__attr_""abs""__coeff_50",701.224657079461
58,y__permutation_entropy__dimension_3__tau_1,693.319787046842
59,y__number_peaks__n_1,690.2586290027633
60,y__permutation_entropy__dimension_6__tau_1,684.2412661408738
61,"z__fft_coefficient__attr_""abs""__coeff_50",682.2091301470815
62,y__permutation_entropy__dimension_7__tau_1,681.3183300365199
63,"z__fft_coefficient__attr_""abs""__coeff_46",677.951779933774
64,y__permutation_entropy__dimension_4__tau_1,671.2889892023735
65,y__permutation_entropy__dimension_5__tau_1,663.5514825579799
66,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",652.037415712863
67,z__ar_coefficient__coeff_5__k_10,649.6629433887467
68,z__partial_autocorrelation__lag_2,641.3832303995415
69,"x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",639.3019910294446
70,z__cid_ce__normalize_False,628.8915031747258
71,x__ar_coefficient__coeff_1__k_10,618.5839915512315
72,z__number_peaks__n_1,617.577279951651
73,z__partial_autocorrelation__lag_7,616.0418183429113
74,"z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",606.0131015689609
75,x__number_peaks__n_1,597.9031127637379
76,"z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",597.3817607645342
77,x__permutation_entropy__dimension_3__tau_1,596.7013259304302
78,"x__fft_coefficient__attr_""abs""__coeff_43",591.3735570064814
79,x__permutation_entropy__dimension_4__tau_1,589.7098669216263
80,z__absolute_sum_of_changes,583.0483940081675
81,z__mean_abs_change,583.0483940066083
82,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",583.0483940066083
83,y__partial_autocorrelation__lag_2,575.6156124079781
84,z__permutation_entropy__dimension_3__tau_1,575.560091518203
85,"z__fft_coefficient__attr_""abs""__coeff_51",564.7942897058772
86,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",560.2430394812293
87,z__partial_autocorrelation__lag_5,557.9402844403901
88,"x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",551.3179165386061
89,z__number_crossing_m__m_0,550.5374969673079
90,z__number_crossing_m__m_1,550.2081233241737
91,z__number_crossing_m__m_-1,549.5064245082249
92,"z__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",549.1272001190788
93,"x__fft_coefficient__attr_""abs""__coeff_42",535.6659333954942
94,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",532.2135055277687
95,y__cid_ce__normalize_True,522.4224353608366
96,"x__fft_coefficient__attr_""abs""__coeff_41",518.0211819244431
97,y__autocorrelation__lag_1,516.8273458000863
98,y__partial_autocorrelation__lag_1,516.8273457916687
99,"z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",502.6871996015026
100,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",501.6843918287872
