,feature,F_score
1,"z__fft_aggregated__aggtype_""skew""",2900.1009931630415
2,z__ar_coefficient__coeff_1__k_10,2558.496926831203
3,y__ar_coefficient__coeff_8__k_10,2129.4266990551755
4,"z__fft_aggregated__aggtype_""centroid""",2123.9261666959446
5,y__ar_coefficient__coeff_1__k_10,1950.790736676513
6,y__ar_coefficient__coeff_7__k_10,1843.2259280762353
7,"x__fft_aggregated__aggtype_""kurtosis""",1758.0107616279258
8,x__number_crossing_m__m_0,1490.4695733097549
9,x__number_crossing_m__m_-1,1489.9381935884528
10,x__number_crossing_m__m_1,1489.4446200810019
11,x__partial_autocorrelation__lag_1,1488.855741293703
12,x__autocorrelation__lag_1,1488.855741293703
13,x__cid_ce__normalize_True,1477.2646608000077
14,"z__fft_aggregated__aggtype_""kurtosis""",1421.9076508615503
15,"x__fft_aggregated__aggtype_""skew""",1404.579445760114
16,"y__fft_aggregated__aggtype_""variance""",1350.449664139625
17,"y__fft_aggregated__aggtype_""centroid""",1336.9761942266532
18,x__partial_autocorrelation__lag_7,1317.8670660198268
19,"x__fft_aggregated__aggtype_""centroid""",1302.4884126654033
20,x__autocorrelation__lag_2,1187.4406847531775
21,x__friedrich_coefficients__coeff_2__m_3__r_30,1178.640868667547
22,z__partial_autocorrelation__lag_4,1167.2455458293236
23,z__cid_ce__normalize_True,1108.8143986378245
24,z__partial_autocorrelation__lag_1,1101.6364611873175
25,z__autocorrelation__lag_1,1101.6364611870897
26,z__ar_coefficient__coeff_8__k_10,1101.4345493835883
27,x__autocorrelation__lag_8,1099.1908424753717
28,y__ar_coefficient__coeff_9__k_10,1092.2397239859436
29,"x__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",1039.65122193798
30,"y__fft_aggregated__aggtype_""skew""",869.5974169363432
31,x__autocorrelation__lag_7,856.4588131592884
32,y__partial_autocorrelation__lag_9,851.8605631042166
33,x__permutation_entropy__dimension_7__tau_1,840.9276430390846
34,"x__fft_coefficient__attr_""abs""__coeff_70",820.0894275283501
35,x__ar_coefficient__coeff_0__k_10,786.905299140536
36,"x__fft_coefficient__attr_""abs""__coeff_71",760.0909168105126
37,"x__fft_coefficient__attr_""abs""__coeff_69",752.2001920446323
38,"x__fft_coefficient__attr_""abs""__coeff_72",750.7857683183137
39,x__spkt_welch_density__coeff_2,743.5716390331538
40,x__partial_autocorrelation__lag_4,732.8236949514662
41,x__permutation_entropy__dimension_6__tau_1,713.8309803024979
42,"z__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",705.8324797590756
43,"x__fft_coefficient__attr_""abs""__coeff_68",691.1594051629196
44,x__ar_coefficient__coeff_7__k_10,669.1070907016947
45,"x__fft_coefficient__attr_""abs""__coeff_73",658.7655007487613
46,x__permutation_entropy__dimension_5__tau_1,658.7637503435113
47,"x__fft_coefficient__attr_""abs""__coeff_74",646.4929016515022
48,x__absolute_sum_of_changes,641.2197694269369
49,x__mean_abs_change,641.2197694246612
50,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",641.2197694246612
51,x__cid_ce__normalize_False,626.9180081958623
52,"x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",603.3586917008018
53,z__partial_autocorrelation__lag_2,600.4024080987829
54,z__partial_autocorrelation__lag_8,596.6248147815974
55,"z__fft_coefficient__attr_""abs""__coeff_71",595.1852894310185
56,"x__fft_coefficient__attr_""abs""__coeff_67",582.8616950354452
57,z__ar_coefficient__coeff_5__k_10,578.52390960793
58,"z__fft_coefficient__attr_""abs""__coeff_73",574.5258562564013
59,y__partial_autocorrelation__lag_8,569.6726774924697
60,"z__fft_coefficient__attr_""abs""__coeff_74",569.5504864160893
61,x__number_peaks__n_1,565.1486554573149
62,x__permutation_entropy__dimension_3__tau_1,563.3905005195351
63,y__permutation_entropy__dimension_3__tau_1,563.1960836779701
64,y__number_peaks__n_1,562.3442512444698
65,y__permutation_entropy__dimension_6__tau_1,558.0417382371431
66,"z__fft_coefficient__attr_""abs""__coeff_72",554.1285723533174
67,x__ar_coefficient__coeff_1__k_10,553.6186058793038
68,y__permutation_entropy__dimension_7__tau_1,549.1666892599133
69,x__permutation_entropy__dimension_4__tau_1,545.2418816052584
70,"x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",540.2812945675423
71,y__permutation_entropy__dimension_4__tau_1,537.5266182885086
72,"x__fft_coefficient__attr_""abs""__coeff_66",531.8685746962509
73,y__permutation_entropy__dimension_5__tau_1,530.3718455075001
